Tweet ID,Relevance,Sentiment,Satire,Hate,Direction,Targets,Hope Speech
1623797539592962048,1,0,0,0,,,1
1623691936984088579,1,0,0,0,,,0
1623632222594142209,1,2,1,0,,,0
1623631739930427392,1,2,1,0,,,0
1623274380305510401,1,0,1,0,,,1
1623155247853236224,1,0,0,0,,,1
1622911259304935424,1,0,0,0,,,0
1621879077111218181,0,,,,,,
1621657445033459713,0,,,,,,
1621334539456118784,0,,,,,,
1621333927486160896,0,,,,,,
1621310846503915522,1,2,1,0,,,0
1621199414416261121,1,2,0,0,,,0
1621172150844653568,1,0,0,0,,,0
1621077581411008515,1,2,0,1,1,1,0
1621067359464361984,1,2,0,1,1,1,0
1621003747865550848,1,2,0,1,1,2,0
1620992751797149707,0,,,,,,
1620763693398261760,1,1,0,0,,,1
1620743834232819712,1,0,0,0,,,0
1620632048829632512,0,,,,,,
1620625013878697985,1,0,0,0,,,0
1620623382931988481,1,2,0,1,1,2,0
1620612839806468096,1,0,0,0,,,0
1620333291017732097,1,0,1,0,,,0
1620316190056013827,1,0,0,0,,,0
1620301784056205312,1,0,1,0,,,0
1620292632462385154,1,1,1,0,,,0
1620274477820182528,0,,,,,,
1620268516090994688,1,2,1,0,,,0
1619903468646567937,0,,,,,,
1619899357662420994,1,2,1,0,,,0
1619857761076150273,1,2,1,0,,,0
1619727770015395841,1,2,1,0,,,0
1619726548936032258,1,2,1,0,,,0
1619713588519915520,1,0,1,0,,,0
1619661312338038784,1,0,0,0,,,0
1619546224688001025,0,,,,,,
1619185012573876226,0,,,,,,
1619038511985995778,1,2,0,1,1,1,0
1618913775113093126,1,2,0,1,1,1,0
1618837135775399936,1,1,0,0,,,1
1618615666185228291,1,2,0,0,,,0
1618123260377583616,1,2,0,1,1,1,0
1618118238189289474,1,2,1,0,,,0
1618109135513604099,1,2,0,0,,,0
1618062467409793024,1,2,0,1,0,,0
1617844797280223235,1,2,0,0,,,0
1617810252153622529,1,2,0,0,,,0
1617544147031949312,1,0,1,0,,,0
1617479064985677825,1,0,1,0,,,0
1616756311101677569,1,1,0,0,,,1
1616459985730547712,1,2,0,1,1,1,0
1616427750688198656,1,0,1,0,,,0
1616298823932088320,1,0,0,0,,,0
1616290952112672770,1,2,0,1,0,,0
1616276302784516102,1,2,0,1,0,,0
1616268272642719744,1,2,1,0,,,0
1616107829932457984,1,2,1,0,,,0
1616106418196869120,1,0,0,0,,,0
1616044503391141888,1,0,1,0,,,0
1615927374234914816,1,0,1,0,,,0
1615915858475495424,1,2,1,0,,,0
1615555778034950144,1,2,1,0,,,0
1615543449218080768,1,2,1,0,,,0
1615442538634280962,1,2,1,0,,,0
1615382483796885504,1,0,1,0,,,0
1615382428117504000,1,2,0,1,0,,0
1615370351911010309,1,0,1,0,,,0
1615355539873214464,1,0,0,0,,,0
1615354837939683328,1,2,1,0,,,0
1615353357836906499,1,0,1,0,,,0
1615351481011695616,1,0,1,0,,,0
1615351278229671941,1,0,1,0,,,0
1615322165309734913,1,0,0,0,,,0
1615305864499585025,1,2,0,1,0,,0
1615300931159220224,1,0,0,0,,,0
1615292512930856961,1,0,0,0,,,0
1615291218157801472,1,0,1,0,,,0
1615284154605920256,1,2,0,1,1,1,0
1615185762588426241,1,0,1,0,,,0
1615000848190562304,1,0,1,0,,,0
1614993929937784833,1,0,0,0,,,0
1614990423671574528,1,0,1,0,,,0
1614979125521043456,1,0,1,0,,,0
1614974411219824641,1,0,0,0,,,0
1614974162443075584,1,0,0,0,,,0
1614965887353901062,1,0,1,0,,,0
1614964934986850305,1,0,1,0,,,0
1614901817837776896,1,0,1,0,,,0
1614857171413667840,1,0,1,0,,,0
1614824926900547584,1,1,0,0,,,1
1614818310067216384,1,2,1,0,,,0
1614589504098291713,1,1,1,0,,,0
1614578106622447616,1,2,1,0,,,0
1614553030191611905,1,2,0,1,0,,0
1614518499363196928,1,0,0,0,,,0
1614268602139709442,1,0,1,0,,,0
1614264654762573825,1,0,0,0,,,0
1613967196752838670,1,2,0,1,0,,0
1613884759532515328,1,1,0,0,,,1
1613881861264273411,1,0,0,0,,,0
1613877797776429057,1,0,0,0,,,0
1613868484043370496,1,0,0,0,,,1
1613814854372184067,1,0,1,0,,,0
1613797190719373314,1,0,1,0,,,0
1613786648206274560,1,2,1,1,1,1,0
1613785598141296642,0,,,,,,
1613746175525675009,1,2,1,1,1,1,0
1613507139347320834,1,0,1,0,,,0
1613501149075890176,0,,,,,,
1613377200413089794,1,0,1,1,1,1,0
1613366612480102400,1,2,1,1,1,2,0
1613366058555183104,1,0,0,1,1,1,0
1613365372438343680,1,0,0,0,,,0
1613364638217023489,1,0,0,0,,,0
1613363743001563136,1,0,1,0,,,0
1613225740065177600,1,2,1,0,,,0
1613207824796119040,1,2,0,0,,,0
1613168224321015810,1,0,0,0,,,0
1613165513705914374,1,0,1,0,,,0
1613162582843756544,1,1,1,1,1,1,0
1613036791422124033,1,2,1,1,1,2,0
1612999258831196160,1,0,0,0,,,0
1612775669511122944,1,2,1,1,1,1,0
1612735952887349254,1,0,1,1,1,2,0
1612716539073163265,1,2,0,1,1,1,0
1612708760933531648,1,0,0,0,,,0
1612705031727493123,0,,,,,,
1612681464855891968,1,2,0,1,1,1,0
1612654561503891458,1,0,1,0,,,0
1612640044476694532,1,2,0,1,0,,0
1612637752771874816,1,0,0,1,1,2,0
1612501996241850370,0,,,,,,
1612495725329543168,0,,,,,,
1612476714797662209,1,0,0,0,,,0
1612459441114480641,1,0,1,0,,,0
1612421604851744770,0,,,,,,
1612325983314665472,1,0,0,1,0,,0
1.61E+18,0,,,,,,
1612121621959180288,0,,,,,,
1612102333252669442,0,,,,,,
1612094349126533122,0,,,,,,
1611988921222860800,1,0,1,0,,,0
1611977227247431680,1,0,0,0,,,0
1611964837520879617,1,0,0,0,,,0
1611741255297568771,1,0,0,1,1,1,0
1611740578240409600,1,2,0,1,1,1,0
1611738041240125444,1,0,0,0,,,0
1611718449042182144,1,0,0,0,,,0
1611599372034379777,1,0,0,0,,,0
1611583647181864961,1,0,0,1,0,,0
1611420394170503169,1,0,1,0,,,0
1611367633143894018,1,0,0,0,,,0
1611329977861181441,1,0,0,0,,,0
1611244058437091328,0,,,,,,
1611227606673944576,1,2,0,0,,,0
1611220773490020352,1,0,1,0,,,0
1611211845767147521,1,0,0,0,,,0
1610999466827608067,1,2,1,0,,,0
1610963381309276162,1,0,0,0,,,0
1610947627193098240,1,0,0,0,,,0
1610872702734331904,1,0,0,0,,,0
1610869531416891398,1,0,1,0,,,0
1610863092531073025,1,0,0,0,,,0
1610790234463301632,1,0,1,0,,,0
1610670070929461248,1,0,1,1,1,1,0
1610653218610241537,1,2,0,1,1,2,0
1610648311668801538,0,,,,,,
1610643503473897473,1,0,1,0,,,0
1610628768510652416,1,0,0,0,,,0
1610596039362510848,1,0,0,0,,,0
1610589417214988291,1,0,0,0,,,0
1610568385703849987,0,,,,,,
1610497956192616449,1,0,0,0,,,0
1610484475321892864,0,,,,,,
1610472611355688962,1,0,0,0,,,0
1610457114551681025,1,0,1,0,,,0
1610341605998985219,1,0,0,0,,,0
1610337260410638338,1,2,0,0,,,0
1610300889222483968,1,0,1,0,,,0
1610286248597553152,1,0,1,0,,,0
1610282973194248194,1,0,0,0,,,0
1610281625606316033,1,0,0,0,,,0
1610277748488142848,1,0,0,0,,,0
1610253034550079490,1,0,0,0,,,0
1610209429940752398,1,0,0,0,,,0
1610052763500544009,1,0,0,0,,,0
1609913925616939008,1,0,1,0,,,0
1609910612506869760,1,0,1,0,,,0
1609854551166980097,1,0,0,0,,,0
1609829576540323842,1,0,1,0,,,0
1609805621112762369,1,0,1,0,,,0
1609166780517478400,1,0,0,1,0,,0
1608755407945883648,0,,,,,,
1608653232234168320,1,2,1,1,1,1,0
1608507208752574464,1,0,0,0,,,0
1608504529066266625,1,0,0,0,,,0
1608319430827835399,1,2,1,0,,,0
1607937641189892096,1,0,0,0,,,0
1607781632609783808,1,0,1,0,,,0
1607732115864711171,1,0,0,0,,,1
1607686571414937603,1,0,0,0,,,0
1607474645086650375,1,2,1,1,0,,0
1607383251743838209,1,0,0,0,,,0
1607368022855155712,1,0,0,0,,,0
1607365179553255425,1,0,0,0,,,0
1607344468222697473,1,0,0,0,,,1
1607324069426495488,1,2,1,1,0,,0
1607319633237008385,1,0,1,0,,,0
1607287977276850177,1,2,1,1,1,2,0
1607241050661466112,1,0,0,0,,,0
1607201810996989953,1,0,0,0,,,1
1607104368066842626,1,0,0,0,,,0
1607078877582577664,1,0,1,0,,,0
1607058656994131969,1,2,1,1,1,3,0
1606989728724963328,1,2,0,0,,,0
1606981333737443329,1,2,1,0,,,0
1606965706435989509,1,2,0,0,,,0
1606964508421152768,1,2,1,0,,,0
1605907913465159680,1,0,1,0,,,0
1605616119233945600,1,2,1,1,1,3,0
1605569202144047105,1,0,1,0,,,0
1605215303612317696,1,1,0,0,,,0
1605178062152552449,1,1,0,0,,,0
1604155598740033536,1,2,0,1,0,,0
1604120478355902465,1,0,0,0,,,0
1603610685002305536,1,0,0,0,,,0
1603026023121096706,1,1,0,0,,,1
1602673237477187585,0,,,,,,
1602644401490116608,0,,,,,,
1602638959082979328,1,2,1,0,,,0
1602638586121138176,0,,,,,,
1602611744228212739,1,0,0,0,,,0
1602588488813068288,0,,,,,,
1602492111621963777,1,0,0,0,,,0
1602314608169172993,1,0,1,0,,,0
1602309351225499649,1,0,0,0,,,0
1602293392377262080,1,2,0,1,1,1,0
1602178498818617344,0,,,,,,
1601916221393408005,1,0,0,0,,,0
1601757096407486465,0,,,,,,
1601689447845990400,0,,,,,,
1601636504505548800,0,,,,,,
1601442278169800704,0,,,,,,
1601389648907231232,1,2,1,0,,,0
1601369194310021120,1,0,0,0,,,0
1601284261650509825,0,,,,,,
1601279670796054528,0,,,,,,
1601274755478585345,0,,,,,,
1601256948716179456,0,,,,,,
1601209928403689472,0,,,,,,
1601188912755781632,1,0,0,0,,,0
1601042980236062720,1,2,1,1,1,1,0
1600818870838755329,1,2,0,1,1,1,0
1600757304089247745,1,0,0,0,,,0
1600501150998237184,1,2,1,0,,,0
